Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region_Assam,Region_Bihar,Region_Chandigarh,Region_Chhattisgarh,Region_Delhi,Region_Goa,Region_Gujarat,Region_Haryana,Region_Himachal Pradesh,Region_Jammu & Kashmir,Region_Jharkhand,Region_Karnataka,Region_Kerala,Region_Madhya Pradesh,Region_Maharashtra,Region_Meghalaya,Region_Odisha,Region_Puducherry,Region_Punjab,Region_Rajasthan,Region_Sikkim,Region_Tamil Nadu,Region_Telangana,Region_Tripura,Region_Uttar Pradesh,Region_Uttarakhand,Region_West Bengal,Area_Urban
2019-05-31, Monthly,0.04756320041699244,0.2613211980058909,0.5048953409858205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.03974459212926765,0.2560015355113572,0.48480756245779877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.04886630179827989,0.2632361697861461,0.5092842673869008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.0432629658587438,0.26758767461286215,0.5172180958811614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.0673703414125619,0.26695500002197775,0.5292032410533424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.045869168621318734,0.26172079922255226,0.5010128291694801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.05368777690904353,0.24816827573966627,0.4670830519918974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.057075840500390926,0.2728951782787162,0.536968264686023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.06307010685431325,0.2617047040824295,0.5086090479405807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.07701329163408913,0.2552959735535854,0.4979743416610399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.05290591608027102,0.24733681742090735,0.4613436866981769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.2122752150117279,0.19120429458576327,0.3831870357866307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.18842845973416733,0.20725733804445667,0.4191424713031735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
